macromolecule,element,low,high
protein,C,0.50,0.56
protein,N,0.14,0.19
protein,O,0.20,0.25
protein,P,0.000,0.010
sugar,C,0.38,0.46
sugar,N,0.000,0.030
sugar,O,0.46,0.56
sugar,P,0.000,0.020
nucleic_acid,C,0.31,0.38
nucleic_acid,N,0.14,0.18
nucleic_acid,O,0.30,0.40
nucleic_acid,P,0.080,0.105
membrane_lipid,C,0.60,0.78
membrane_lipid,N,0.000,0.020
membrane_lipid,O,0.10,0.30
membrane_lipid,P,0.010,0.050
storage_lipid,C,0.72,0.84
storage_lipid,N,0.000,0.005
storage_lipid,O,0.04,0.16
storage_lipid,P,0.000,0.002
metabolite,C,0.20,0.45
metabolite,N,0.02,0.10
metabolite,O,0.22,0.50
metabolite,P,0.08,0.30
