C_to_P,N_to_P,RNA_content_pct
59.66006143,15.39103725,9.081108829
73.45451358,18.01910426,9.286447639
66.23009411,16.70655432,9.440451745
69.51578479,16.83980538,9.77412731
57.05222484,14.6214719,12.70020534
55.8793997,14.10627042,14.57392197
41.96248605,10.96111375,16.01129364
49.05716106,12.40664502,16.16529774
57.59790683,13.72297131,16.62731006
62.46049167,15.56393994,17.01232033
57.21784458,14.26217956,19.27104723
65.75670217,16.23289265,19.32238193
51.97115141,12.43119127,20.78542094
55.38874447,13.74670834,21.17043121
45.6962132,11.54159207,26.5349076
