source_pdf,table_id,sample_set_group,bin_label,latitude_band,np_mean,np_ci_2_5,np_ci_97_5,np_predicted_gaussian,cp_mean,cp_ci_2_5,cp_ci_97_5,cp_predicted_gaussian,footnote
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,60N,60N,14.5,5.2,32.4,5,119.6,42.6,269.2,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,50N,50N,17.2,9.4,29.1,N/Aa,125.1,62.3,225.5,N/Aa,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,40N,40N,25.4,12.6,45.9,5,192.1,85.4,374.7,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,30N,30N,36.6,9.4,99.1,1,225.7,71.1,546.7,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,20N,20N,24.9,9.6,53.2,1,171.0,67.5,360.7,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,10N,10N,33.5,5.4,113.8,N/Aa,188.0,70.9,408.5,N/Aa,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,0,0,18.0,7.4,37.0,1,136.9,62.5,262.2,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,10S,10S,20.6,10.2,37.4,1,216.0,82.2,466.5,4,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,20S,20S,26.1,11.4,51.5,1,226.1,85.0,492.2,5,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,30S,30S,17.7,13.2,23.2,5,134.3,82.5,206.9,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,40S,40S,17.5,10.4,27.6,1,107.0,58.9,179.2,5,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,50S,50S,12.5,4.8,26.7,1,74.0,26.6,165.5,1,a indicates N/A in original table for predicted Gaussian distributions
martiny_natgeosci_2013_SI.pdf,Table S2,Latitude,60S,60S,10.6,8.3,13.3,N/Aa,65.5,47.5,88.1,N/Aa,a indicates N/A in original table for predicted Gaussian distributions
