C_to_P,N_to_P,driver,condition,Study,Species,PFT
516,51.6,P,control,Bechemin99,Alexandrium minutum,Din
184,20.90909091,P,treatment,Bechemin99,Alexandrium minutum,Din
723,96.4,P,control,Bertilsson03,Synechococcus sp. WH8012,Pro
130,24.07407407,P,treatment,Bertilsson03,Synechococcus sp. WH8012,Pro
779,109.7183099,P,control,Bertilsson03,Synechococcus sp. WH8103,Pro
165,33,P,treatment,Bertilsson03,Synechococcus sp. WH8103,Pro
464,62.7027027,P,control,Bertilsson03,Prochlorococcus sp. Med4,Pro
121,21.22807018,P,treatment,Bertilsson03,Prochlorococcus sp. Med4,Pro
545.722,54.73640923,P,control,Bi18,Emiliania huxleyi,Coc
288.554,27.09172848,P,treatment,Bi18,Emiliania huxleyi,Coc
361.909,35.36685234,P,control,Bi18,Emiliania huxleyi,Coc
217.833,24.0646266,P,treatment,Bi18,Emiliania huxleyi,Coc
261.67,41.40348101,P,control,Feng18,Emiliania huxleyi,Coc
73.04,13.99233716,P,treatment,Feng18,Emiliania huxleyi,Coc
342.694,42.725,P,control,Fu05,Trichodesmium erythraeum IMS101,Dz
108.274,17.053,P,treatment,Fu05,Trichodesmium erythraeum IMS101,Dz
392.284,39.294,P,control,Fu05,Trichodesmium erythraeum ﻿GBRTRLI101,Dz
104.95,15.586,P,treatment,Fu05,Trichodesmium erythraeum ﻿GBRTRLI101,Dz
579.781,88.143,P,control,Fu06,Synechococcus sp. CCMP 1334,Pro
92.763,16.481,P,treatment,Fu06,Synechococcus sp. CCMP 1334,Pro
199.1,36.2,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
85.4,17.79166667,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
218.4,39,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
95.1,19.40816327,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
217.4,45.29166667,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
107,21.4,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
251.9,49.39215686,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
112.8,23.5,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
249.7,45.4,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
90.3,17.70588235,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
260.8,44.20338983,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
98.8,19,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
261.3,49.30188679,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
104.6,20.50980392,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
289.6,50.80701754,P,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
103.9,22.10638298,P,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
249.3,29.32941176,P,control,Johansson99a,Chrysochromulina polylepis,Euk
122.2,15.87012987,P,treatment,Johansson99a,Chrysochromulina polylepis,Euk
216.3,24.30337079,P,control,Johansson99b,Prymnesium parvum,Euk
146.3,14.06730769,P,treatment,Johansson99b,Prymnesium parvum,Euk
560,62.22222222,P,control,LaRoche93,Dunaliella tertiolecta,Euk
50,6.756756757,P,treatment,LaRoche93,Dunaliella tertiolecta,Euk
578,40.41958042,P,control,LaRoche93,Phaeodactylum tricornutum,Dia
47.8,6.289473684,P,treatment,LaRoche93,Phaeodactylum tricornutum,Dia
939.4215686,168.9369748,P,control,Langer12,Calcidiscus leptoporus,Coc
202.2286325,59.33150183,P,treatment,Langer12,Calcidiscus leptoporus,Coc
5148.583333,290.0714286,P,control,Langer13,Emiliania huxleyi,Coc
214.675,35.87142857,P,treatment,Langer13,Emiliania huxleyi,Coc
592.699,83.36132208,P,control,Leonardos04b,Chaetoceros muelleri,Dia
465.803,74.26705995,P,treatment,Leonardos04b,Chaetoceros muelleri,Dia
670.224,62.28268748,P,control,Leonardos04b,Chaetoceros muelleri,Dia
523.873,53.78020737,P,treatment,Leonardos04b,Chaetoceros muelleri,Dia
696.51,72.96354494,P,control,Leonardos05a,Rhinomonas reticulata,Euk
626.011,51.9942691,P,treatment,Leonardos05a,Rhinomonas reticulata,Euk
629.389,57.6786107,P,control,Leonardos05a,Rhinomonas reticulata,Euk
581.229,49.5,P,treatment,Leonardos05a,Rhinomonas reticulata,Euk
244.36,25.73565034,P,control,Leonardos05b,Emiliania huxleyi,Coc
166.444,21.11965487,P,treatment,Leonardos05b,Emiliania huxleyi,Coc
271.432,21.31720726,P,control,Leonardos05b,Emiliania huxleyi,Coc
217.076,21.31330388,P,treatment,Leonardos05b,Emiliania huxleyi,Coc
494.205774,39.467,P,control,McKew15,Emiliania huxleyi,Coc
101.865296,17.972,P,treatment,McKew15,Emiliania huxleyi,Coc
146,23.93442623,P,control,Mouginot15,Synechococcus sp. WH8102,Pro
113,18.22580645,P,treatment,Mouginot15,Synechococcus sp. WH8102,Pro
454.2580645,79.03225806,P,control,Oviedo14,Emiliania huxleyi RCC1813,Coc
36.17204301,9.784946237,P,treatment,Oviedo14,Emiliania huxleyi RCC1813,Coc
582.1935484,68.19354839,P,control,Oviedo14,Emiliania huxleyi RCC1817,Coc
19.21821632,4.516129032,P,treatment,Oviedo14,Emiliania huxleyi RCC1817,Coc
456.516129,56.15053763,P,control,Oviedo14,Emiliania huxleyi RCC1812,Coc
37.12903226,10.72580645,P,treatment,Oviedo14,Emiliania huxleyi RCC1812,Coc
470.516129,82.64516129,P,control,Oviedo14,Emiliania huxleyi RCC1827,Coc
34.15053763,11.49103943,P,treatment,Oviedo14,Emiliania huxleyi RCC1827,Coc
1252.645161,142.2580645,P,control,Oviedo14,Emiliania huxleyi RCC1830,Coc
45.33333333,10.63799283,P,treatment,Oviedo14,Emiliania huxleyi RCC1830,Coc
430.0645161,63.4516129,P,control,Oviedo14,Emiliania huxleyi RCC1833,Coc
37.93548387,13.66129032,P,treatment,Oviedo14,Emiliania huxleyi RCC1833,Coc
693,76.07025247,P,control,Perrin16,Emiliania huxleyi,Coc
158,24.45820433,P,treatment,Perrin16,Emiliania huxleyi,Coc
661,54.85477178,P,control,Perrin16,Emiliania huxleyi,Coc
173,19.83944954,P,treatment,Perrin16,Emiliania huxleyi,Coc
142.3533333,30.78776398,P,control,Rasdi15,Tisochrysis lutea,Euk
43.09788718,9.899556741,P,treatment,Rasdi15,Tisochrysis lutea,Euk
138.2969646,31.25527047,P,control,Rasdi15,Nannochloropsis oculata,Euk
34.32944625,9.723072636,P,treatment,Rasdi15,Nannochloropsis oculata,Euk
325.9941358,28.79167921,P,control,Skau17,Emiliania huxleyi,Coc
147.8047335,11.91578204,P,treatment,Skau17,Emiliania huxleyi,Coc
330.1208989,34.9032786,P,control,Skau17,Emiliania huxleyi,Coc
130.5343621,9.252249161,P,treatment,Skau17,Emiliania huxleyi,Coc
240.5531519,21.21674936,P,control,Skau17,Prymnesium polylepis,Euk
173.8995314,15.44036497,P,treatment,Skau17,Prymnesium polylepis,Euk
229.9481615,17.62474922,P,control,Skau17,Prymnesium polylepis,Euk
157.0153598,12.24186131,P,treatment,Skau17,Prymnesium polylepis,Euk
327.2543576,30.06729932,P,control,Skau17,Chrysochromulina rotalis,Euk
216.2965411,17.23429246,P,treatment,Skau17,Chrysochromulina rotalis,Euk
311.3930667,26.23281307,P,control,Skau17,Chrysochromulina rotalis,Euk
145.9570817,12.11246576,P,treatment,Skau17,Chrysochromulina rotalis,Euk
218.088,46.30318471,P,control,Steinhoff14,Aphanizomenon flos-aquae,Dz
166.88,29.81064666,P,treatment,Steinhoff14,Aphanizomenon flos-aquae,Dz
419.272,44.12924955,P,control,Sun11,﻿Pseudo-nitzschia multiseries,Dia
85.922,10.19724662,P,treatment,Sun11,﻿Pseudo-nitzschia multiseries,Dia
375.331,43.07712613,P,control,Sun11,﻿Pseudo-nitzschia multiseries,Dia
86.844,9.50881419,P,treatment,Sun11,﻿Pseudo-nitzschia multiseries,Dia
428.18,55.50687062,P,control,Sun11,﻿Pseudo-nitzschia multiseries,Dia
99.127,11.2618723,P,treatment,Sun11,﻿Pseudo-nitzschia multiseries,Dia
203,12.37804878,N,control,Bechemin99,Alexandrium minutum,Din
184,20.90909091,N,treatment,Bechemin99,Alexandrium minutum,Din
233.483,14.68446541,N,control,Bi18,Emiliania huxleyi,Coc
288.6,26.97196262,N,treatment,Bi18,Emiliania huxleyi,Coc
223.827,16.35923111,N,control,Bi18,Emiliania huxleyi,Coc
217.8,23.93406593,N,treatment,Bi18,Emiliania huxleyi,Coc
137.69,8.659748428,N,control,Feng18,﻿Emiliania huxleyi,Coc
104.82,14.31967213,N,treatment,Feng18,﻿Emiliania huxleyi,Coc
111.6,8.651162791,N,control,Johansson99a,Chrysochromulina polylepis,Euk
122.2,15.87012987,N,treatment,Johansson99a,Chrysochromulina polylepis,Euk
112.9,5.910994764,N,control,Johansson99b,Prymnesium parvum,Euk
146.3,14.06730769,N,treatment,Johansson99b,Prymnesium parvum,Euk
602.4,113.6603774,N,control,Knapp12,﻿Trichodesmium ﻿erythraeum ﻿IMS101,Dz
790.3,125.4444444,N,treatment,Knapp12,﻿Trichodesmium ﻿erythraeum ﻿IMS101,Dz
290.3,46.82258065,N,control,Knapp12,Crocosphaera watsonii WH8501,Dz
270.3,37.02739726,N,treatment,Knapp12,Crocosphaera watsonii WH8501,Dz
58.4,2.891089109,N,control,LaRoche93,Dunaliella tertiolecta,Euk
50,6.756756757,N,treatment,LaRoche93,Dunaliella tertiolecta,Euk
42.9,1.765432099,N,control,LaRoche93,Phaeodactylum tricornutum,Dia
47.8,6.289473684,N,treatment,LaRoche93,Phaeodactylum tricornutum,Dia
210.4919872,20.39697802,N,control,Langer12,Calcidiscus leptoporus,Coc
202.2286325,59.33150183,N,treatment,Langer12,Calcidiscus leptoporus,Coc
322.1217949,1.362637363,N,control,Langer13,Emiliania huxleyi,Coc
238.2407407,35.67460317,N,treatment,Langer13,Emiliania huxleyi,Coc
172.848348,7.902,N,control,McKew15,Emiliania huxleyi,Coc
101.865296,17.972,N,treatment,McKew15,Emiliania huxleyi,Coc
226,15.74912892,N,control,Perrin16,Emiliania huxleyi,Coc
158,24.45820433,N,treatment,Perrin16,Emiliania huxleyi,Coc
600,13.16078087,N,control,Perrin16,Emiliania huxleyi,Coc
173,19.83944954,N,treatment,Perrin16,Emiliania huxleyi,Coc
352.36,17.63563564,N,control,Plum15,Rhodomonas salina,Euk
414.361,50.50103595,N,treatment,Plum15,Rhodomonas salina,Euk
58.557,7.725197889,N,control,Plum15,Tetraselmis sp.,Euk
46.386,6.400717538,N,treatment,Plum15,Tetraselmis sp.,Euk
83.561,2.360413548,N,control,Plum15,Tetraselmis sp.,Euk
485.497,44.00806744,N,treatment,Plum15,Tetraselmis sp.,Euk
99.916,11.80203166,N,control,Plum15,Skeletonema costatum,Dia
78.229,9.462803919,N,treatment,Plum15,Skeletonema costatum,Dia
136.198,3.839050653,N,control,Plum15,Skeletonema costatum,Dia
258.083,23.42376112,N,treatment,Plum15,Skeletonema costatum,Dia
252.98,11.82315278,N,control,Plum15,Chaetoceras danicus,Dia
193.147,23.31566876,N,treatment,Plum15,Chaetoceras danicus,Dia
94.54134,9.795,N,control,Qu18,Coscinodiscus sp,Dia
83.05146,11.205,N,treatment,Qu18,Coscinodiscus sp,Dia
104.512368,11.056,N,control,Qu18,Coscinodiscus sp,Dia
